from_vertex_id;to_vertex_id;weights;geom
18726;18727;51.167203;LINESTRING(37.581236 55.752195,37.581300 55.752196,37.582054 55.752201)
24134;5044;96.523124;LINESTRING(37.656849 55.729771,37.657772 55.729971,37.658301 55.730061)
7554;7556;19.076616;LINESTRING(37.645637 55.764902,37.645853 55.764973,37.645901 55.764988)
12947;14814;4.483919;LINESTRING(37.647010 55.748222,37.647040 55.748248,37.647049 55.748256)
12947;12675;8.835637;LINESTRING(37.647010 55.748222,37.647040 55.748248,37.647123 55.748235)
3804;3805;7.557373;LINESTRING(37.630676 55.734920,37.630648 55.734919,37.630557 55.734911)
11560;8146;67.944312;LINESTRING(37.583317 55.737241,37.584090 55.737598,37.584158 55.737627)
11560;9368;67.374293;LINESTRING(37.583317 55.737241,37.584090 55.737598,37.584143 55.737567)
316;317;9.107520;LINESTRING(37.641757 55.756860,37.641761 55.756833,37.641774 55.756778)
7487;7488;4.090167;LINESTRING(37.613956 55.769064,37.613980 55.769052,37.614010 55.769044)
12679;12680;65.084342;LINESTRING(37.647754 55.748144,37.647901 55.748124,37.648735 55.747952)
25582;20956;10.306472;LINESTRING(37.666586 55.753276,37.666645 55.753293,37.666706 55.753337)
21189;21190;34.646253;LINESTRING(37.686349 55.762470,37.686328 55.762578,37.686252 55.762776)
7002;7003;34.637443;LINESTRING(37.602415 55.745810,37.602733 55.745656,37.602834 55.745606)
21590;21592;5.546695;LINESTRING(37.580117 55.746520,37.580102 55.746494,37.580067 55.746484)
21600;21601;3.715473;LINESTRING(37.570774 55.758477,37.570787 55.758479,37.570833 55.758478)
95;97;4.267252;LINESTRING(37.596315 55.770631,37.596276 55.770655,37.596268 55.770659)
12517;12518;61.813823;LINESTRING(37.575912 55.761075,37.575259 55.761144,37.574941 55.761178)
14541;14543;51.600647;LINESTRING(37.581197 55.769389,37.581103 55.769299,37.580757 55.768997)
14245;14247;4.631295;LINESTRING(37.601042 55.761966,37.600994 55.761968,37.600969 55.761971)
16140;16142;24.924346;LINESTRING(37.650421 55.773267,37.650257 55.773217,37.650072 55.773160)
24913;24914;41.334672;LINESTRING(37.655726 55.750345,37.655340 55.750269,37.655103 55.750221)
17948;17949;36.275050;LINESTRING(37.575471 55.744792,37.575618 55.744970,37.575716 55.745088)
6006;6008;7.647525;LINESTRING(37.672723 55.747037,37.672728 55.747071,37.672735 55.747106)
2146;2147;9.276835;LINESTRING(37.650793 55.764812,37.650775 55.764806,37.650664 55.764771)
22952;22954;67.426837;LINESTRING(37.678338 55.752249,37.678225 55.752103,37.677905 55.751694)
15467;15465;6.137856;LINESTRING(37.670792 55.763694,37.670759 55.763669,37.670731 55.763651)
15779;15777;14.396924;LINESTRING(37.596049 55.753991,37.595989 55.754008,37.595845 55.754050)
21320;21322;25.609700;LINESTRING(37.632368 55.765277,37.632323 55.765117,37.632304 55.765049)
