from_vertex_id;to_vertex_id;weights;geom
20562;20563;0.152707;LINESTRING(37.587399 55.729968,37.585951 55.729433,37.585361 55.729215)
23264;23265;0.010842;LINESTRING(37.600956 55.751104,37.600851 55.751081,37.600792 55.751073)
16883;16884;0.014979;LINESTRING(37.609037 55.767260,37.608935 55.767227,37.608829 55.767193)
12401;12402;0.024714;LINESTRING(37.637740 55.765281,37.637457 55.765191,37.637396 55.765172)
13962;15185;0.009880;LINESTRING(37.575997 55.758847,37.576066 55.758828,37.576038 55.758872)
13962;13964;0.008019;LINESTRING(37.575997 55.758847,37.576066 55.758828,37.576116 55.758820)
13962;15184;0.013253;LINESTRING(37.575997 55.758847,37.576066 55.758828,37.576070 55.758752)
7511;7509;0.008700;LINESTRING(37.618660 55.768489,37.618604 55.768501,37.618531 55.768519)
5848;5846;0.018548;LINESTRING(37.644339 55.753152,37.644348 55.753076,37.644372 55.752986)
22351;22353;0.010890;LINESTRING(37.615030 55.733392,37.615189 55.733373,37.615200 55.733371)
183;184;0.051363;LINESTRING(37.650043 55.768802,37.650081 55.768809,37.650817 55.768956)
183;23398;0.009824;LINESTRING(37.650043 55.768802,37.650081 55.768809,37.650115 55.768872)
19092;12926;0.014983;LINESTRING(37.645114 55.749017,37.645074 55.749056,37.644996 55.749134)
19092;17009;0.013010;LINESTRING(37.645114 55.749017,37.645074 55.749056,37.644948 55.749045)
16436;16437;0.028807;LINESTRING(37.651841 55.771307,37.651858 55.771342,37.651952 55.771559)
16436;17120;0.020315;LINESTRING(37.651841 55.771307,37.651858 55.771342,37.651881 55.771488)
10387;10385;0.010725;LINESTRING(37.678526 55.752786,37.678522 55.752787,37.678383 55.752838)
15224;15225;0.008170;LINESTRING(37.567237 55.750866,37.567213 55.750841,37.567162 55.750806)
9017;9018;0.021497;LINESTRING(37.655479 55.741159,37.655512 55.741146,37.655757 55.741045)
24392;24393;0.004591;LINESTRING(37.645437 55.768463,37.645400 55.768456,37.645370 55.768447)
2842;2843;0.025670;LINESTRING(37.615871 55.761927,37.615624 55.761798,37.615570 55.761770)
2273;2274;0.004474;LINESTRING(37.619757 55.729950,37.619775 55.729967,37.619802 55.729981)
2036;2037;0.009952;LINESTRING(37.650602 55.758309,37.650641 55.758252,37.650660 55.758225)
7112;7114;0.020212;LINESTRING(37.668729 55.743148,37.668616 55.743121,37.668439 55.743069)
24190;13765;0.075304;LINESTRING(37.573004 55.752819,37.573386 55.752616,37.573818 55.752322)
17338;17340;0.012477;LINESTRING(37.648707 55.745159,37.648681 55.745227,37.648662 55.745268)
8961;8962;0.038836;LINESTRING(37.594197 55.773606,37.594578 55.773815,37.594642 55.773849)
3006;3007;0.010015;LINESTRING(37.602506 55.756303,37.602547 55.756256,37.602577 55.756222)
24597;24598;0.064243;LINESTRING(37.660594 55.754556,37.660414 55.754574,37.659586 55.754667)
1362;1363;0.029902;LINESTRING(37.620582 55.763763,37.620154 55.763760,37.620104 55.763760)
6457;6459;0.020346;LINESTRING(37.594741 55.759092,37.594649 55.759151,37.594519 55.759225)
3777;3778;0.003607;LINESTRING(37.633755 55.742547,37.633767 55.742549,37.633809 55.742558)
11597;16349;0.018645;LINESTRING(37.592202 55.732376,37.592283 55.732352,37.592206 55.732244)
11597;16351;0.012315;LINESTRING(37.592202 55.732376,37.592283 55.732352,37.592381 55.732330)
23544;25117;0.014045;LINESTRING(37.623893 55.729843,37.623943 55.729780,37.624016 55.729740)
20748;20749;0.057438;LINESTRING(37.687641 55.737618,37.687417 55.737640,37.686738 55.737707)
22223;22224;0.052150;LINESTRING(37.656260 55.753348,37.656119 55.753022,37.656063 55.752892)
4489;4490;0.015037;LINESTRING(37.594313 55.731417,37.594190 55.731446,37.594094 55.731473)
